title,soldprice,link,solddate,bids
SHOHEI OHTANI (13) 2019 BOWMAN PLATINUM (2nd Year Card) LOS ANGELES ANGELS #2,16.15,https://www.ebay.com/itm/256206362349?hash=item3ba716d6ed:g:zcMAAOSwwIRk9OQ-&amdata=enc%3AAQAIAAAA8D9hcR77qphghUVrb9ph2IbQAdZhBpC7QvPxYNTzDlQ%2FM9quCiFumBoBtxMKqL7hjPzM0chy2VCLhLlznrI%2F0xaA0WUH9J1ZRMtTY1qzqJVIda3TA5vZuk3jW0zCfVacmgmllwr1vYk6CSkwbi8wATBQtygWwx7um495sOjuZYi6UwHNJyv%2BcuW2VrhLuhA4cpWigH5PMd6Ps4oPUJt3SNHWia21wWb1JwIS6I1ncjrsmk%2Bf35PXFW7gEPxyZPrnbPkE7OSu9nTVKpuTz9xOaWGBbBZPh4RPMuux1y5CiDT4DnmYloeQvnC4uRBdO8TiHQ%3D%3D%7Ctkp%3ABk9SR6CwrvzOYg,"Sold  Sep 8, 2023",12 bids
2022 Topps Series 2 Home Run Challenge Code Card Shohei Ohtani #HRC-4,4.84 to 12.04,https://www.ebay.com/itm/334868601846?hash=item4df7b95bf6:g:ylgAAOSwqhpkrLbL&amdata=enc%3AAQAIAAAA0Dud6TGqffHLCO4UsQixsUQVr7aUEYl4DM4np8po1OEUjlgJql7OaXSUVSpkLWgypS1zdtuGEsICmO%2FlVrSaou9pLfzrf15MS8fKqJr9ouxLbjDJUc4M0KqCWJ6vA81fgjjxEHhb37%2BtSC9nXVpYO16WBZKQLgBB%2F%2BaRGJ6RRByEZHXIjd07qfkGtLkanUgoMCQzp3kBRpdbq93KUhIg6n%2Bi%2FM8%2FW0m2g7w4cvmptj2Dv0BHBKrSmS1M2rgOz9VcrMXopnFyKQPteoWq9jf9I94%3D%7Ctkp%3ABk9SR6CwrvzOYg,"Sold  Jul 9, 2023",NA
New Listing2018 Topps Game Changers #S-39 Shohei Ohtani Rookie Card,20.00,https://www.ebay.com/itm/325803026348?hash=item4bdb5fa7ac:g:nf4AAOSwZTpk-79f&amdata=enc%3AAQAIAAAA8IGAy6CSNQ7WoFE00MkPH4ZHw3QEwpHm1TBu7g7ZpHDa7ohm%2BqGKB2KXlGTwIy4ym6HQvvALnov%2FRQVbZaalT0sqqV%2BbtxEbjTcZj%2F6nRRmNNsv7XIvcAJC7M87g5KIavgXng6EIocrD42YsluLDXZqynR9jOdGdzVZIzK6q6C%2B69JH%2BlVGyaGRajhhSJHL0SgG2%2F70rxiQK4t33vjscCMu9gG5zc9EQw5kTNJIpqTze5%2F%2BffuLnHe3%2B5%2F%2B2T9%2BwK%2BS5sbh6v7O7%2BA4BIPiIBvYoN3ZneuEmm3MXPAKgUk8%2BhME8Zuzwu%2FF88xJPGR%2FM2w%3D%3D%7Ctkp%3ABk9SR6CwrvzOYg,"Sold  Sep 8, 2023",NA
Shohei Ohtani 2022 Topps Heritage Card #150 & Trout/Ohtani Card #CC-2,3.51,https://www.ebay.com/itm/314807286112?hash=item494bf9f960:g:I90AAOSwXL1k8c3K&amdata=enc%3AAQAIAAAA0EszeOR6nvaGbBHCDoFklqGFzoLvol7Etsa5e0eSdJFGOqZx911%2BBKhfCg7XubQ9VEfFALWIXvcwibfseojK7yXq%2FeDo%2BF3nbabx23ktLn1cOOfJx7WH9hJJ82p1KXIv3NfGzt4wZwLj%2BgQGrS6piHm%2FpCi9KRWdrPFp9%2FuoFlocI6yi%2FQVqc957SEtkfI5xEnRWGT%2BYGGUAWybLyz4ocSQKA%2FoI8w9%2FdFkoYp8UfK6661C9honQj6z3Hi5XmsYZMqRt%2BzG65pKgqR9Cz8muVFo%3D%7Ctkp%3ABk9SR6CwrvzOYg,"Sold  Sep 8, 2023",3 bids
SHOHEI OHTANI 2018 Topps Gallery Artist Proof Rookie Card GEM Grade 10 GEM MINT,42.91,https://www.ebay.com/itm/266396323748?hash=item3e06754fa4:g:cL4AAOSwAg9k8kJ5&amdata=enc%3AAQAIAAAA0LfvDaFszXCt9eRjid4y2Zp0p1gFFi15ll7n5XFvHUbxEbZIJ0vskHUT%2BrfaXQUy9S%2F6Bu2HSObxJEoPOoAbbQrXeUz%2F0VXeEmz3PrubrZK9v3a6cbrN7lR4acRgg%2F%2B5EiZrWgAnRqudUSXmVrSIfSKmaE%2B6sstztXc1E%2Fi%2Fk91O3eVEPs83sYoozNXUAr2nlxjDAb6L9XBYm7FBXRXJ1L%2Bmv%2BaS%2B71pN7ftpOVpBhmI%2FT8DpHLMG7aDbLpDxzmcVDuiipS51eDyrIDSkly0RgQ%3D%7Ctkp%3ABk9SR6CwrvzOYg,"Sold  Sep 8, 2023",39 bids
2018 Bowman Chrome SHOHEI OHTANI Batting Rookie Card RC #1 Los Angeles Angels,256.00,https://www.ebay.com/itm/355016383559?hash=item52a8a01c47:g:FA0AAOSwY7Fk9TXA&amdata=enc%3AAQAIAAAA8FIikIHN91KzYM1oaRE4xMICd8YbiLIDGijV1i8AdtoxZt21tWztfPTPnXuDkibQPSM5HsjBHQaMDuec8LY%2F5ziRs4BQxNatVyHyNaAdRGEuH5qAEttwusmkH35Ca2dvpUhEzCxq1zqriBZX6Ss1vjiVm4TGqOkGQ5EbzbRS9yg%2BRFBVzWvlYSYX47TgLJwlDcW%2Be2diib0YBDlT7u%2FsnGdo6qYTv5J5KVE%2BBGMbFjrOo%2FW1w3Wcz3dayOL%2B6V1DSJsYCCpdAjsjMzWo29pdAdBufl6X5tQEYSNvooQhrK9uMsCoXVXZevZTTxDtWw2FUA%3D%3D%7Ctkp%3ABk9SR6CwrvzOYg,"Sold  Sep 8, 2023",14 bids
2023 Topps Now 683 Shohei Ohtani 1st Player In History With 40 HR & 10 Wins Card,4.99,https://www.ebay.com/itm/285440899707?hash=item42759a7a7b:g:5g8AAOSw8Ldk4~Ti&amdata=enc%3AAQAIAAAA0GPKvs09Z3KBpmOfcMSa4bln7Jyfcir8KeLUkSjp0ipCgRuORLIHWc%2BMma%2FBDU1%2BRQrPdsPU8Rd4wWy3yAXHo6Q114OFB%2Bv3QLnosJXH7npc4sjBsxy8NBYnxydV55Q2Kw1UypvaAvQCsFmb231yjuC%2Br3VGAkCOfWpQBJvuXbNU8GLAAvmpBbRKF%2F2pZwDGJNaUmPpRbX1hgHdsGok20yz0CXxskqC2slNsO%2BKuNus6bQCMnyvo%2FCMApQQL7khPZ34chI5I4b%2F85RD5AnwRscY%3D%7Ctkp%3ABk9SR6CwrvzOYg,"Sold  Sep 8, 2023",NA
2018 Bowman Shohei Ohtani Rookie Card #49 GMA Mint 9,39.99,https://www.ebay.com/itm/314808337674?hash=item494c0a050a:g:viQAAOSw7Bdk1uIw&amdata=enc%3AAQAIAAAA0OU54dFWe4PwDNIo8ZUQ0mBdC%2BiWEyl%2F2r%2BxcjuQQoznOFNWIhmyca1D1RfP59o2XqoJQRYsqEwHXpKKeUXJbwHr79zBTrJXKBfjBEA%2BE7HKpoYeIVpcjW0fbE2OWY2IT%2FHahZyItcdEnOx4mImmTI%2Bn42RaUTB6bVhfU8tpR8YJBQCJGl%2FR28LEulI%2FC5Oy4YgoxPb61N72BUpxrMNNM1m4zN4H85%2B2vrRd%2BCePGi0Dh2cHWctbe5kAkd44HAcZ01kzrpfSqVqmj3i8mDwZxUA%3D%7Ctkp%3ABk9SR6CwrvzOYg,"Sold  Sep 8, 2023",1 bid
2018 Topps Shohei Ohtani Rookie Card RC #700 Los Angeles Angels,38.00,https://www.ebay.com/itm/204448111510?epid=18055887423&hash=item2f9a0e9b96:g:94QAAOSwRFlk8pCx&amdata=enc%3AAQAIAAAA8BCWeXfg%2FY6QpYLNd0KHoOaoOg2e8jiVqUWNl3cgxkJUyyzRM%2FkqCsbBue7MGezQk%2BOLkk%2B%2Bz3LGl3%2BQwzzBiaAnutWiu2GQOKCsqLwKYiDm116C12ELf55ng7jmwMwMJdVq1W%2FW73hFq3ORWsqIB25F4%2BQCwYhvoWrNnqNDNtN95SIssFx6hNsF5cTfz0oA%2B3ubxUYJTiFaA3DTMuv0iNsdo3otU3ANLbEhZcDui0gJaRrZF%2Ftl7jnna0%2BH4wZy5NUgyiVMocIRVZMln9qTU%2FeGJ7Kvqi4AnoKzub9ylr3LERgKkIGpnhL2tphW2uTZqw%3D%3D%7Ctkp%3ABk9SR6CwrvzOYg,"Sold  Sep 8, 2023",9 bids
SHOHEI OHTANI 2019 TOPPS GALLERY #25 NM+ 2nd Year Card Angels,1.49,https://www.ebay.com/itm/134712122339?hash=item1f5d77dbe3:g:sK0AAOSwKitk6VUO&amdata=enc%3AAQAIAAAA0IaPiJdwMQr9bPt5xXIrql5qC%2BV6HvZLy6cviN8y91gKTx348tOMCYuugtQQheNOx7Ab3jmZWAXRGEySw4q%2BAtVprJVsOnTesF2RoaiCJjhqJbJ1bYUR6WB23Axx%2BchpAaz99uUfhu3uJ1Kx%2F90SnBwJQOcVWaLC1jqJVZPVYfxAZOlHUSsB9oldYkt%2BanLV26arWNZbpD17jPutXWcJ6X2gQoGH6%2F73s8ogoy65HmfRtFboEwaWzJr4%2Fc7JbQ2wpa3A85%2F%2FaKLsaF8W66jq2Xk%3D%7Ctkp%3ABk9SR6KwrvzOYg,"Sold  Sep 8, 2023",1 bid
