title,soldprice,link,solddate,bids
1980 Topps #482 Rickey Henderson Oakland A's RC Rookie HOF GEM ELITE 10,675.00,https://www.ebay.com/itm/225744464910?epid=11055876351&hash=item348f6b2c0e:g:DfgAAOSwFddk59dq&amdata=enc%3AAQAIAAAAwOPd4I6C3HL9AI26O8v5OP2RlDmhIbujrRM3cuRYOnRSB63kA8iFghY3lLOTVWCblIhWv1jjd5MGnCpW9q9NsYwNpwgNs2nzp%2FGWpebfmG%2FEFP8thn968CsJYTUoswqYApTXVOyOIO%2B9P1I0%2Fa7qHb0tSo4LX693ZkRXkzOqN4Kc1NVuoIXEcDueWhbRBp%2BmeqI6Gm5YHJsQo4lsSCKmbof6bjrErgCfbvDzXAUAvk1Uw%2FidI3zWg4cj7tZlzYKSwA%3D%3D%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",NA
Lot of 11 RICKEY HENDERSON Cards Oakland A's HOF,4.00,https://www.ebay.com/itm/115904533019?hash=item1afc72d21b:g:IdAAAOSwQEBk8iPN&amdata=enc%3AAQAIAAAAwNSX%2FauugwQA5GNP7gBMa%2FB%2BKC1G5Ri1MMD4DKmcmiUpZw%2FqvNdJ%2Be0tIQmAUpiUot9319gpWUdSvAuyDpxTtF%2F8tXU6G%2BglkKVgoCXtR%2BCIVxRF1PoDcrSfGxSsaMsLdYvr%2Bzv8FfOPDDURxPyBHWLO2ZH%2B3EmieBUftkOYZ5eNvaKXXqogtz6nrbRK74iQkpyBt7IvZtAMWt9ZanFwPn4JScyztlVR7xdiBFRi1Zxi0QFYP%2FY2Sr4ZlIUO03Zvng%3D%3D%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",2 bids
2021 Project 70 Artist Proof Silver Frame 18/51 Rickey Henderson Matt McCormick,52.88,https://www.ebay.com/itm/235162341899?hash=item36c0c4920b:g:wYgAAOSwlCtk7SR0&amdata=enc%3AAQAIAAAAwOHSYCx07YNx%2Bg2mrpSw%2BOg0jlUyWzfXP1UpJaBifrLWeAziSjuKLPRe0pmops0fpfsmZBMbnKdMFOjb9hj8P9cZ1ka0VjGQPxaCMe%2BkwEAQZ%2FhrBsPkjyJCwPP%2FY1wjtE6n2MHtTyzDHiYss5foUi%2BBF1hEj3k9pWUnnxfHFDUJkTZPjxlEvXGeg7J2WW%2FySvWbMpqsfTnz8PuAyzeZTc2zmqHBgpfisS96AcnAeVOXiB4tPo3oW4Uq1A7iNe6Vsw%3D%3D%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",15 bids
RICKEY HENDERSON 2012 Topps Triple Threads #68 ~ ATHLETICS,2.99,https://www.ebay.com/itm/235108928460?epid=17055988299&hash=item36bd958bcc:g:ahMAAOSwO9RkxcqP&amdata=enc%3AAQAIAAAA4Knsr0lcQrq76eSi35Xp78pbe1AxOqraeII96k9clhFLScCqL7Z3XPDxu6vI%2F0SfRoB9%2FZkpG8tXJ4M8ug8WATqDSVdL9Ep%2B7PRLvwVb9kbee0cCWVjGIaP%2B2bSX2B9taniDkyO4wcbpSFAXbLGz4059TURIyutVQBXqB0TmZszGD%2B8GJ%2FbQsAR4xZFBcN479rMH5s98qnwn9k4ryymZDWM4Dg1CZzYDhrtLK0PUaG2ien%2F4ALT5Q3JRZBBW8opMBi2IqNQ32oDvU95eHKgbu8xhjkAyauIXV%2FDWPmKmDsLI%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",NA
"New Listing2013 Topps RICKEY HENDERSON #CTC-30 ""Cut To The Chase"" Die-Cut Insert Athletics",2.99,https://www.ebay.com/itm/225764635425?hash=item34909ef321:g:bh4AAOSwaQZk-3eh&amdata=enc%3AAQAIAAAAwDsbCe0HLz78TS39PZuz3w6pLU6X7vBYJGmj3A8tdyURQAjwjam4oyZqE%2BsPxZppswkUHZ0jzHW2Ox07OS7cLEt11mDPCMEzmKv%2FjKBFW0RbVO5JVbqogyE%2BTMYkj%2FFXdI%2F5bsGu2tnrTUs0hRLlhElS8xbXASJvG0ucdrSpZCMYr4mlInjGFKdfbXA1bZ7fo82%2FjMKzdD7yME6ZAVmyvRiBe9MttW1uv51VpFfiXNVeoTkJHzxs92jlTjIH8hWT%2FA%3D%3D%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",NA
2001 Topps Finest Rickey Henderson #48 HOF Mariners Near Mint,2.49,https://www.ebay.com/itm/195954240868?epid=21055994742&hash=item2d9fc86d64:g:xskAAOSwvZ1kmOy2&amdata=enc%3AAQAIAAAAwBBvrI5J9bUb5vZgY8CBvg58tEkz7G0giurJW6Bu9n423u45%2BHE9UIDQLEyCFY0fEfnp1VUWTTrM6VX21JPc1APATFy5iFpbTTXpdiHa8DJFzFoZ%2BdVUYa1RS9Cuzdeg%2FgN9%2BgVifZcafXWNiLVOfQt2%2BDFbAdY07NWhapYxEuF53uvsSB%2B8gk92JaJAt60evuuWwhQfrdwdwfVNh%2BLDApFx9uYDu9pqUg72kF3%2F8bq0AZmcY9Os%2BxC5nfNUU15AOQ%3D%3D%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",NA
1980 topps rickey henderson rookie card 482,24.00,https://www.ebay.com/itm/126079021827?epid=11055876351&hash=item1d5ae53303:g:UREAAOSwAZZk9grE&amdata=enc%3AAQAIAAAAwHaYRObdZUIMyPhtuosc8nEi9YKibMZGGp0MX2Z3Iu4m7bXFWTnW%2BmlsycQSjX5yDsP5pJy6Zj%2Bu6ESOClEpjZkaT%2F0pmZ8oy63MdtU9I59rvdz3gZwtefCDKULyUv2ylqF4c6ckbwkxXJ3CsPEbfwTpTG4HJ%2Bl5YeGSKs2%2BMAaUsdWMYbfw3jL5LGMz%2BKwR4kmXRWYfvM0%2BeW0nhFJQyQ7DKkIUK9zaVmoACNpRcrbZbFU4l5O%2FC1sJ18Ws7GRscw%3D%3D%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",1 bid
1988 Topps Tiffany Rickey Henderson PSA 8 NM-Mt # 60,13.99,https://www.ebay.com/itm/175413241678?hash=item28d771a74e:g:0UMAAOSwFjRjH0S9&amdata=enc%3AAQAIAAAAwIPyAcVt8Tde0gFZGa5xDBZWp9muk1w%2BqkIvWwMFGjaJpmo4cHUgUbu5PdnhvRqXVz6TcBPBLdu8G4jw7e%2FVdN8Kczadc0tWP%2Bqblvm8wF0HYIP5tjKgtqMe1jk0nAPHdAJlg0bv7rxxID9q1bGOB05TT6POov7YhR0OMubQiZMHCx3iL1KdxEF0e5mYtsWZ5YE8oZRcOpYDzzw%2FuH2PC3ByH03EDcxTkQWnc22zP3dEyem7ZvIF143x%2FmSRqs9hlA%3D%3D%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",NA
1980 Topps #482 Rickey Henderson PSA 4 New Litehouse Label #901,44.99,https://www.ebay.com/itm/115904280636?hash=item1afc6ef83c:g:mUwAAOSwQbBkYQA4&amdata=enc%3AAQAIAAAA4KLkTxXwy4yk%2BSs5GvGwhMVhnuFnayOs1WfW3yRIeB9ihZ7KhlSkF00MgAYV5S57j8rbBjBZWJuPfbqxlr41chmHgL5IRw61flRMfrG%2BvPd%2BzrGE8NC2t2kQm7PAhCS3%2Bz25H7zO1x0dMZElG0pY8N4bLvXFUw%2Fj2Y9sM7L0SJiUQ4fgfyhPtIDZu0SsUjFQY90aHkjRGhfdHdLopyZEXBtgj42njzyfVsVdi3XClWzyzvbc4SZUYxNDbGYUFav6sOTE1ybn2CsK9JcxybvvZxSysPqU1zSrN2101v8caDRQ%7Ctkp%3ABk9SR9Ldz_rOYg,"Sold  Sep 8, 2023",NA
1980 TOPPS RICKEY HENDERSON PSA 8 ..  Beautiful Centered Classic Card,260.55,https://www.ebay.com/itm/374918376102?hash=item574ae06aa6:g:t1IAAOSwCEdk97X2&amdata=enc%3AAQAIAAAA4E8yCYVAvt%2F445360MXuEnTXU4ZeAR%2FpKp77UBMbaviTF6x2ybp9AjI6oM%2FIKSBOGShIIJjmqaGNICKF%2FXc3HKreOxYntoBLTt5VewBP5TDrsd044lCENwKZ%2BvJcIQkF07kZLm6mZp0O50VM8RrdagxRz4q%2F4bY%2FY%2BY%2BTJxtH0MJimAEDCNo%2BFrQeDwpupcleamgi7tin%2F3Q%2FpBlOxQiJEkN94awc%2BGkk2uzNiP%2B69wW1btEMuh%2B5WEso0eHWSWo5JH5F3afEXKTsZkNqcQqEKXrC61Kl1xJRvHxZNUa8luf%7Ctkp%3ABk9SR9Ldz_rOYg,"Sold  Sep 8, 2023",25 bids
